,Unnamed: 0,molecule_chembl_id,class,canonical_smiles1,MW,LogP,NumHDonors,NumHAcceptors,pIC50
123,123,CHEMBL3677294,active,O=C1NC(=O)C2(Cc3ccccc3C2)N1c1ccc2[nH]cnc2c1,318.336,2.1567,2.0,3.0,6.085656842880559
124,124,CHEMBL3677295,active,O=C1NC(=S)C(c2ccc(Cl)cc2)N1c1ccc2[nH]cnc2c1,342.81100000000004,3.814600000000002,2.0,3.0,6.59176003468815
125,125,CHEMBL3677296,active,O=C1NC(=S)C(c2ccc(F)c(F)c2F)N1c1ccc2nc[nH]c2c1,362.336,3.578500000000002,2.0,3.0,6.314258261397736
126,126,CHEMBL3677297,active,O=C1NC(=S)C(c2ccc(Br)cc2F)N1c1ccc2nc[nH]c2c1,405.25200000000007,4.062800000000002,2.0,3.0,7.619788758288394
127,127,CHEMBL3677298,active,Cc1ccc(C2C(=S)NC(=O)N2c2ccc3[nH]cnc3c2)c(F)c1F,358.3730000000001,3.7478200000000017,2.0,3.0,6.486782399932061
128,128,CHEMBL3703751,active,Cc1cncn1CCCn1c(=S)[nH]c2ccccc2c1=O,300.3870000000001,2.6543100000000006,1.0,5.0,7.034798298974088
129,129,CHEMBL3703752,active,Cc1csc2c(=O)n(CCCn3cncc3C)c(=S)[nH]c12,320.443,3.024230000000001,1.0,6.0,6.5934598195660445
130,130,CHEMBL3703753,active,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,360.50800000000027,3.594610000000002,1.0,6.0,6.94692155651658
131,131,CHEMBL3703754,active,CCc1cc2c(=O)n(CCCn3cncc3C)c(=S)[nH]c2s1,334.46999999999997,3.2782100000000014,1.0,6.0,6.939302159646388
132,132,CHEMBL3703755,active,Cc1sc2[nH]c(=S)n(CCCn3cncc3C)c(=O)c2c1C,334.4700000000001,3.332650000000002,1.0,6.0,6.913640169325252
133,133,CHEMBL3703756,active,CCc1c(C)sc2[nH]c(=S)n(CCCn3cncc3C)c(=O)c12,348.49700000000007,3.5866300000000013,1.0,6.0,6.790484985457369
134,134,CHEMBL3703757,intermediate,Cc1cncn1CCCn1c(=S)[nH]c2sc(-c3ccccc3)cc2c1=O,382.5140000000001,4.382810000000004,1.0,6.0,6.906578314837765
135,135,CHEMBL3703758,intermediate,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCC3,346.4810000000002,3.2045100000000017,1.0,6.0,6.684029654543083
136,136,CHEMBL3703759,intermediate,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCC(C)C3,374.53500000000025,3.8406100000000025,1.0,6.0,6.549750891680639
137,137,CHEMBL3703760,intermediate,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCCCC3,374.5350000000003,3.9847100000000033,1.0,6.0,6.87942606879415
138,138,CHEMBL3703761,intermediate,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCCCCC3,388.56200000000035,4.374810000000004,1.0,6.0,6.769551078621726
139,139,CHEMBL3703762,intermediate,Cc1sc2[nH]c(=S)n(CCCn3cncc3C)c(=O)c2c1-c1ccccc1,396.5410000000001,4.691230000000004,1.0,6.0,6.36251027048749
